Season,Model,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,F1-Score
Fire Season,Standard,405599,12901,951,351,0.9670034921224768,0.026486568065197707,0.2695852534562212,0.9691732377538829,0.048234162429572625
Fire Season,Seq21,414653,3847,1140,162,0.988120590182991,0.04040907957096533,0.12442396313364056,0.9908076463560335,0.061005460365279617
Fire Season,Seq7,405374,13126,927,375,0.9665246949752503,0.027775720317013555,0.2880184331797235,0.9686356033452808,0.05066540566101466
Fire Season,Reduced,409052,9448,1011,291,0.9750858738167041,0.02987986446247048,0.22350230414746544,0.9774241338112306,0.05271261661081424
Non-Fire Season,Standard,371535,5,88,0,0.9997497497497497,0.0,0.0,0.9999865424987888,0.0
Non-Fire Season,Seq21,371075,465,88,0,0.9985119528130281,0.0,0.0,0.9987484523873608,0.0
Non-Fire Season,Seq7,371540,0,88,0,0.9997632040642793,0.0,0.0,1.0,0.0
Non-Fire Season,Reduced,371534,6,88,0,0.9997470588868438,0.0,0.0,0.9999838509985466,0.0
