grid_id,temp_mean,precip_sum,soil_moisture_mean,wind_speed_mean
G_00000,6.8731595808460115,171.7684161068348,258.8697953993274,0.41995356267954403
G_00001,8.28835352825864,203.47150453938528,259.66884906830325,0.41250780565225026
G_00002,6.064329565725042,164.68318963064237,258.2502681773196,0.4724940783441783
G_00003,8.210863162625245,202.7949210406687,259.4551737436684,0.48552021874141316
G_00004,6.993041815809048,163.17893975986544,258.0739760347592,0.559962063935381
G_00005,10.327108883601385,227.9836166800407,263.4506475130717,0.552556995373915
G_00006,9.127903259441437,198.59954381002478,259.9633526545699,0.5728413837065992
G_00007,9.172585587860453,157.25711026801122,260.6288741583465,0.6207236643939509
G_00008,8.64880944118707,209.40976256145515,260.4898837663794,0.4904780683389264
G_00009,9.59818373239171,178.52609643353497,262.6600313391737,0.545978538385054
G_00010,9.137402429888349,143.5639824868588,262.16991013865317,0.6107752220045387
G_00011,4.02154851523781,190.79084733141937,258.2242091599331,0.49466598525824934
G_00012,7.633501430224368,180.88730463398952,260.32838678872713,0.4911375492604475
G_00013,9.222938935474708,154.87999507798224,263.254617270603,0.5391107157508889
G_00014,6.483323443833245,126.3200421036629,258.25146560258764,0.602145475761272
G_00015,-0.28558367247220423,190.27895146621736,257.40384544864776,0.6769439215523234
G_00016,1.9319009965466196,157.6127302051931,257.27888862035604,0.5071622114198479
G_00017,7.098288739112137,151.68079400075942,260.56692164944064,0.5352933809992707
G_00018,8.978139393304005,137.63019108785662,263.9125822333879,0.5724494335733461
G_00019,5.733353633265364,110.75722837461548,257.7832240801986,0.6177472836230546
G_00020,0.32161375066287645,177.84015500558888,257.51053750643166,0.473534227363412
G_00021,3.0143909946564915,140.84044882668547,257.31345404348065,0.5436561247286614
G_00022,5.962556395992175,133.44390356554055,260.68101302013605,0.6119804196623368
G_00023,8.874545013263685,124.07645994438194,263.5019293651786,0.6453422609858666
G_00024,7.9835925235543455,99.32358601702728,262.9999821775703,0.6784137366408717
G_00025,4.35882091317128,207.3150653542427,258.59207579910117,0.5375771604152852
G_00026,5.374085608861804,153.73178610219063,257.81826384349534,0.5308260164587478
G_00027,6.612507961642378,133.46884065879874,259.2118114861109,0.60039891913091
G_00028,7.328752895068122,97.35062757147826,262.7273540548099,0.7402420182905937
G_00029,5.921753409601053,253.69785019768744,259.03013709283647,0.3042852151903326
G_00030,6.264737516833909,187.83003130568534,257.9005388700834,0.39006773590975036
G_00031,7.081697677284184,145.59700378789026,260.3478611412869,0.5543175016618045
G_00032,8.026570461642384,104.49191221608208,263.0766903405549,0.7195198544327933
G_00033,7.185198207568116,252.9844980837255,259.2465059013777,0.2589517289747101
G_00034,7.988871736423963,189.07630109800388,260.3115411214931,0.3115794901885041
G_00035,8.180474217732767,153.59736645235108,262.0878947934797,0.4656186937066072
G_00036,7.925047995454547,118.7729466856866,263.0618609305351,0.6268702703420715
G_00037,10.074876178208239,171.81795501722354,262.5728900201859,0.25326741874741604
G_00038,9.683814087734454,150.33267104639086,262.7928586877802,0.3718002710192395
G_00039,7.934557010281491,133.86844509853404,262.8395410250592,0.5144724762127719
G_00040,9.508890611381965,153.24432441605626,263.15880607789563,0.3092299857899408
G_00041,7.950142632761332,145.39359921230343,262.3098617676766,0.4397134308979426
G_00042,8.335301376670948,177.1030914188776,260.8751066782141,0.2801879412110892
G_00043,7.065520079417913,154.8859257401374,260.7253058341242,0.41155070112125774
G_00044,8.653853701519727,195.4050924779326,261.93944563404204,0.2564664870827961
G_00045,6.34033054228754,166.5994491578486,258.20477472838536,0.49844188018963337
G_00046,7.983218437112813,235.39736160649346,261.3555884207449,0.2859411015854562
G_00047,7.785123915313413,183.7037284077554,262.713094388285,0.5257815109935989
G_00048,7.722119226763348,141.99398124231377,263.08708115034204,0.8389513262948582
G_00049,7.422510114280147,268.7734592856315,260.1603007419135,0.33353945385655576
G_00050,5.831932629821143,229.26869282139805,258.3907276532983,0.42301245711845814
G_00051,5.680958561230759,176.16643795384454,261.9485088368898,0.7198862270185862
G_00052,8.149952701855755,125.67277291430506,263.8883121962188,0.9481796185584125
